graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,exact_maxcut,n,m,deg_mean,clust_mean,mis,assortativity,approx_ratio
known,static_conjecture,barabasi_20,15.464244736032189,"[1.326129770447841, 3.02691105588643, 1.6537369692243185, 3.1415526493630264, 1.4285159341899347, 2.014426459418858, 2.4307207703460847, 2.2240756993999726, 1.2569115512058073, 0.4462032433548043]",1.326129770447841,2.014426459418858,"[1.54557823 1.54557823 1.54557823 1.54557823 1.54557823 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.545578231292517,0.8620742360644783,5,14,24,7.908373117446899,1,1413.0,0.0,0.0,20,barabasi,18,14,24,3.4286,0.6996,0.4286,-0.3958,0.8591247075573438
known,static_conjecture,gnm_21,5.319920989742968,"[2.85106399188665, 1.8415611372353222, 0.578024626531356, 1.374093639427548, 1.7368694083818674, 1.8013689013759817, 3.014229707517546, 1.8552797385303237, 2.833640418659458, 1.296574263394588]",2.85106399188665,1.8013689013759815,"[1.85651061 1.85651061 1.85651061 1.85651061 1.85651061 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.856510612509182,0.8620742360644783,5,6,7,6.039142608642578,1,1430.0,0.0,0.0,21,gnm,6,6,7,2.3333,0.25,0.5,-0.5556,0.8866534982904947
known,static_conjecture,watts_22,15.392718553522212,"[1.72713887290424, 2.786729351632506, 1.4694812448513028, 3.140544744651568, 1.5616146242749842, 1.3058161173786997, 2.3518812560760196, 1.7696095838952839, 1.7247326242218124, 0.6395955870018093]",1.72713887290424,1.3058161173786995,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,12,24,6.548830509185791,1,861.0,0.0,0.0,22,watts,19,12,24,4.0,0.3889,0.3333,-0.2043,0.8101430817643269
known,static_conjecture,watts_23,21.017880303709028,"[1.8476496123936577, 2.5066538465037573, 1.7361457200289805, 2.8037019166676203, 1.8413528692650027, 1.4653193274730203, 1.5081897361167216, 2.0618041335440056, 1.8442908040566561, 1.5890140394375751]",1.8476496123936577,1.4653193274730203,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,15,30,11.52468466758728,1,1515.0,0.0,0.0,23,watts,25,15,30,4.0,0.2429,0.4,-0.27,0.8407152121483611
known,static_conjecture,watts_24,8.579445595049174,"[0.5064915808334349, 2.186811155172145, 1.7467861046022761, 2.3353369797879027, 1.6180646829049021, 1.4359101858979058, 1.0951251841845977, 0.8401097441145433, 0.9174279907086926, 0.6531169618444044]",0.5064915808334349,1.4359101858979058,"[1.46995192 1.46995192 1.46995192 1.46995192 1.46995192 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4699519230769231,0.8620742360644783,5,10,10,2.775604486465454,1,1379.0,0.0,0.0,24,watts,9,10,10,2.0,0.0,0.5,-0.0526,0.9532717327832416
known,static_conjecture,barabasi_25,7.033260805708286,"[2.398267815424007, 3.1414334260909733, 2.3778093948816093, 2.7950142147835484, 2.6489223767034322, 0.4531124075142009, 3.0996251603289444, 1.5744209868239643, 1.6293722294821862, 1.1792684311969037]",2.398267815424007,0.4531124075142009,"[2.24017012 2.24017012 2.24017012 2.24017012 2.24017012 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2401701165955554,0.8620742360644783,5,9,8,5.023868560791016,1,1114.0,0.0,0.0,25,barabasi,8,9,8,1.7778,0.0,0.5556,-0.5748,0.8791576007135358
known,static_conjecture,regular_26,18.000043433812174,"[3.141592653589793, 0.5133429912768988, 2.3704857551161265, 1.8947615763755061, 2.6186833048349953, 0.3572786774772072, 2.0943222145238893, 1.2461569756781379, 0.7718795218164705, 1.0566480155707962]",3.141592653589793,0.3572786774772072,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",3.141592653589793,0.8620742360644783,5,20,20,7.355165719985962,1,1130.0,0.0,0.0,26,regular,20,20,20,2.0,0.0,0.45,0.0,0.9000021716906087
known,static_conjecture,gnm_27,67.16532168013222,"[2.6240326844424215, 2.8072738374429296, 2.598654708368718, 2.626521981269572, 2.4734303246461233, -1.6601153519070122, 3.083716075161048, 3.0745453589160534, 2.4263553043803903, 1.183906465921514]",2.624032684442421,-1.6601153519070122,"[2.55884163 2.55884163 2.55884163 2.55884163 2.55884163 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.5588416294374445,0.8620742360644783,5,18,133,15.7011456489563,1,511.0,0.0,0.0,27,gnm,78,18,133,14.7778,0.8719,0.1667,-0.1253,0.8610938676940029
known,static_conjecture,barabasi_28,24.045659993059903,"[0.16044972736773333, 1.7186394602499546, 1.6946116529553636, 2.712523747859774, 0.8176891663182968, 1.0609706901582006, 3.141362499198178, 1.302528064072631, 1.6770446731263398, 1.4187184811873943]",0.1604497273677333,1.0609706901582006,"[1.55933364 1.55933364 1.55933364 1.55933364 1.55933364 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.559333641120345,0.8620742360644783,5,19,34,9.24679470062256,1,1185.0,0.0,0.0,28,barabasi,27,19,34,3.5789,0.4164,0.4211,-0.3501,0.8905799997429594
known,static_conjecture,watts_29,9.761894382707396,"[1.5365864252814494, 1.9101877714769344, 2.9733008099487703, 1.9034699519818483, 1.62877997595607, 1.018407243830135, 2.871552080214926, 2.5732431244119365, 2.3401663170677507, 1.1626953212225666]",1.5365864252814494,1.018407243830135,"[1.76771255 1.76771255 1.76771255 1.76771255 1.76771255 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7677125506072873,0.8620742360644783,5,7,14,2.8984386920928955,1,876.0,0.0,0.0,29,watts,10,7,14,4.0,0.6238,0.2857,-0.1667,0.9761894382707397
