graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,gnm_497,10.860903625110854,"[1.2920603538203568, 1.4749198714500196, 2.4353052314345716, 2.488817886354501, 2.232102731187238, 0.8029383357020337, 2.701744415947868, 0.8359798462460497, 1.5722315399616424, 0.6532735572730564]",1.2920603538203568,0.8029383357020337,"[1.57309547 1.57309547 1.57309547 1.57309547 1.57309547 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.57309546998624,0.8620742360644783,5,12,16,17.891427040100098,1,1580.0,0.0,0.0,497,gnm
known,static_conjecture,barabasi_498,8.574353758834956,"[2.792649313172989, 1.4919911142577562, 1.7211887348217172, 2.672008048374744, 0.4875598802892389, 0.9908261078510485, 2.9810406869935235, 1.186134752484499, 1.8500817821354256, 1.3461938980637012]",2.792649313172989,0.9908261078510485,"[1.55165289 1.55165289 1.55165289 1.55165289 1.55165289 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5516528925619835,0.8620742360644783,5,11,10,12.988426446914673,1,1740.0,0.0,0.0,498,barabasi
known,static_conjecture,watts_499,5.391396210885432,"[2.268514847486915, 1.3191047554731405, 1.66044422403327, 2.9435231859539686, 1.4598445351780562, 0.37695472698002264, 2.0491132390166493, 2.6236877186912397, 1.6753904768277135, 0.71097212051246]",2.268514847486915,0.37695472698002264,"[1.46995192 1.46995192 1.46995192 1.46995192 1.46995192 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.4699519230769231,0.8620742360644783,5,6,6,6.888041019439697,1,1502.0,0.0,0.0,499,watts
known,static_conjecture,barabasi_500,11.99917262037984,"[0.2867883098350432, 1.7106287491725074, 1.342291691926589, 2.4413227616662585, 1.30468403199257, 1.9472367889305684, 3.14068715964617, 2.3537315394038196, 1.769415720314012, 1.3796150497300788]",0.2867883098350432,1.9472367889305684,"[1.55555556 1.55555556 1.55555556 1.55555556 1.55555556 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5555555555555556,0.8620742360644783,5,15,14,14.611445903778076,1,1496.0,0.0,0.0,500,barabasi
known,static_conjecture,gnm_501,82.68631180407708,"[2.4198148286149284, 2.4404142820310897, 2.8671966759996526, 3.1395393435907026, 2.8535811380009255, 1.568883602156957, 2.946793226585185, 3.100838808685405, 2.3990515641504673, 1.4282928517753128]",2.4198148286149284,1.568883602156957,"[2.65395064 2.65395064 2.65395064 2.65395064 2.65395064 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.6539506391377348,0.8620742360644783,5,19,160,37.82073163986206,1,823.0,0.0,0.0,501,gnm
known,static_conjecture,regular_502,5.999969584710328,"[3.139898311988464, 1.9448188317668698, 2.7594620965307675, 2.5335147653147416, 1.6347686336228304, 0.8802805754840703, 2.240533519754316, 1.8808657154754975, 1.7943170204754673, 0.9458498483462244]",3.139898311988464,0.8802805754840703,"[1.56614833 1.56614833 1.56614833 1.56614833 1.56614833 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5661483253588515,0.8620742360644783,5,7,7,1.2387781143188477,1,564.0,0.0,0.0,502,regular
known,static_conjecture,barabasi_503,5.459350721961073,"[2.910989612111596, 2.421531535304772, 1.663002601529029, 1.584655224970922, 1.9659585525236536, 1.9712556823780265, 2.8060609115211816, 2.8978825376762942, 2.253848164279438, 1.6525609195772815]",2.910989612111596,1.9712556823780265,"[2.23017809 2.23017809 2.23017809 2.23017809 2.23017809 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.230178092584108,0.8620742360644783,5,7,6,2.9522757530212402,1,1541.0,0.0,0.0,503,barabasi
known,static_conjecture,gnm_504,14.696787758278884,"[2.7657115578971934, 2.5201170948494633, 2.3170948603854398, 2.1453347455805485, 1.5656724127921073, 1.2293752409176708, 1.580016100221119, 0.66777019539309, 0.9118786340980608, 0.6454198393268904]",2.7657115578971934,1.2293752409176708,"[1.74829742 1.74829742 1.74829742 1.74829742 1.74829742 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.748297419065092,0.8620742360644783,5,12,21,16.540812730789185,1,1449.0,0.0,0.0,504,gnm
known,static_conjecture,watts_505,13.458329658943567,"[2.8572981089684175, 2.8109681016896406, 1.7396687319055353, 1.560175397953357, 1.6122031323375503, 0.4540784220743504, 2.315937032336912, 0.5615652139430063, 2.6009467017487817, 1.0030641529009459]",2.8572981089684175,0.4540784220743504,"[1.57079633 1.57079633 1.57079633 1.57079633 1.57079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5707963267948966,0.8620742360644783,5,16,16,17.637553691864014,1,1498.0,0.0,0.0,505,watts
known,static_conjecture,barabasi_506,7.622360492633305,"[2.9239412135341505, 2.8524357656921926, 2.9738154450717005, 2.8738801635587206, 2.4457073618376235, 1.9932256887957536, 1.7325447542091075, 1.7670159931054075, 1.8339791669838195, 0.18166997861945297]",2.9239412135341505,1.9932256887957536,"[2.20255013 2.20255013 2.20255013 2.20255013 2.20255013 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.2025501301817094,0.8620742360644783,5,9,8,7.438443422317505,1,1259.0,0.0,0.0,506,barabasi
known,static_conjecture,barabasi_507,8.070826482091604,"[2.708362702268127, 1.8704930846608234, 2.3586089901544893, 2.2084797333826773, 2.316863578268471, 0.24360843915092345, 3.129927650855193, 1.336582287252345, 1.7302776417598387, 0.26883776820041705]",2.708362702268127,0.24360843915092345,"[2.1846071  2.1846071  2.1846071  2.1846071  2.1846071  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.184607103422893,0.8620742360644783,5,10,9,8.356984615325928,1,1323.0,0.0,0.0,507,barabasi
