graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,regular_26,18.000043433812174,"[3.141592653589793, 0.5133429912768988, 2.3704857551161265, 1.8947615763755061, 2.6186833048349953, 0.3572786774772072, 2.0943222145238893, 1.2461569756781379, 0.7718795218164705, 1.0566480155707962]",3.141592653589793,0.3572786774772072,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",3.141592653589793,0.8620742360644783,5,20,20,7.355165719985962,1,1130.0,0.0,0.0,26,regular
known,static_conjecture,gnm_27,67.16532168013222,"[2.6240326844424215, 2.8072738374429296, 2.598654708368718, 2.626521981269572, 2.4734303246461233, -1.6601153519070122, 3.083716075161048, 3.0745453589160534, 2.4263553043803903, 1.183906465921514]",2.6240326844424215,-1.6601153519070122,"[2.55884163 2.55884163 2.55884163 2.55884163 2.55884163 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.5588416294374445,0.8620742360644783,5,18,133,15.701145648956299,1,511.0,0.0,0.0,27,gnm
known,static_conjecture,barabasi_28,24.045659993059903,"[0.16044972736773333, 1.7186394602499546, 1.6946116529553636, 2.712523747859774, 0.8176891663182968, 1.0609706901582006, 3.141362499198178, 1.302528064072631, 1.6770446731263398, 1.4187184811873943]",0.16044972736773333,1.0609706901582006,"[1.55933364 1.55933364 1.55933364 1.55933364 1.55933364 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.559333641120345,0.8620742360644783,5,19,34,9.246794700622559,1,1185.0,0.0,0.0,28,barabasi
known,static_conjecture,watts_29,9.761894382707396,"[1.5365864252814494, 1.9101877714769344, 2.9733008099487703, 1.9034699519818483, 1.62877997595607, 1.018407243830135, 2.871552080214926, 2.5732431244119365, 2.3401663170677507, 1.1626953212225666]",1.5365864252814494,1.018407243830135,"[1.76771255 1.76771255 1.76771255 1.76771255 1.76771255 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7677125506072873,0.8620742360644783,5,7,14,2.8984386920928955,1,876.0,0.0,0.0,29,watts
known,static_conjecture,barabasi_30,9.36978730082245,"[1.3088868254641772, 1.550709228777039, 2.1736297008551473, 1.7050609744980036, 1.8742273232681557, 0.0013479629571851552, 1.9896295729298057, 1.7222757703159135, 1.4231875427344847, 0.16596330973981355]",1.3088868254641772,0.0013479629571851552,"[1.56203704 1.56203704 1.56203704 1.56203704 1.56203704 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5620370370370371,0.8620742360644783,5,12,11,3.660792827606201,1,1162.0,0.0,0.0,30,barabasi
known,static_conjecture,gnm_31,13.973459304460505,"[1.5650449613655983, 1.8688645071886956, 3.083663735388072, 2.6345070787515015, 2.7551805753313205, -0.6630705241298456, 1.9351165410621003, 2.56372952471492, 1.7444334110751685, 1.7313428813583989]",1.5650449613655983,-0.6630705241298456,"[2.1422249  2.1422249  2.1422249  2.1422249  2.1422249  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1422248982234677,0.8620742360644783,5,10,21,9.030171632766724,1,1595.0,0.0,0.0,31,gnm
known,static_conjecture,gnm_32,11.024480368554578,"[2.933753665603692, 2.8141884801965307, 1.797090389700045, 1.9655616546457084, 1.8546180294189276, 2.0816540868749804, 1.8415332033410288, 1.637250090178322, 1.3850569988431145, 0.14794233679293878]",2.933753665603692,2.0816540868749804,"[1.82079633 1.82079633 1.82079633 1.82079633 1.82079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8207963267948966,0.8620742360644783,5,7,17,6.051193952560425,1,1276.0,0.0,0.0,32,gnm
known,static_conjecture,barabasi_33,27.147627465890025,"[3.00116607604391, 2.9015902146228436, 2.171147496081509, 1.817716193007565, 1.9908677881445187, 0.4914827142202227, 1.950363755467059, 1.585978407622529, 1.5674433895106596, 0.23621503669289212]",3.00116607604391,0.4914827142202227,"[1.75400095 1.75400095 1.75400095 1.75400095 1.75400095 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.7540009469696967,0.8620742360644783,5,16,39,6.999107122421265,1,907.0,0.0,0.0,33,barabasi
known,static_conjecture,watts_34,26.814087466205468,"[3.1359214609251156, 1.5568119360434383, 1.388366381293952, 2.7916842995470534, 0.5049956373405164, 0.8340516370870648, 2.4433844314629822, 2.1455807158895492, 1.78017101332751, 1.3915629746494127]",3.1359214609251156,0.8340516370870648,"[1.57079633 1.57079633 1.57079633 1.57079633 1.57079633 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5707963267948966,0.8620742360644783,5,19,38,14.888816118240356,1,1422.0,0.0,0.0,34,watts
known,static_conjecture,barabasi_35,10.811979272779329,"[1.7113396983885594, 1.8679420975344183, 1.1039843783566996, 2.838826549795855, 1.3440916289994107, 0.6805948818975536, 2.789793949667735, 1.376516564893111, 1.3601920571531338, 0.19769112079461504]",1.7113396983885594,0.6805948818975536,"[1.56055227 1.56055227 1.56055227 1.56055227 1.56055227 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5605522682445758,0.8620742360644783,5,13,12,3.9934651851654053,1,1244.0,0.0,0.0,35,barabasi
known,static_conjecture,barabasi_36,7.329524289840036,"[2.9527395104571665, 1.9990196778710656, 2.1119007104935124, 1.5791931100579126, 2.422494030498046, 1.772772193918299, 2.942950788752741, 1.2373937172016096, 1.9548000900139342, 1.6185744952027024]",2.9527395104571665,1.772772193918299,"[2.18690907 2.18690907 2.18690907 2.18690907 2.18690907 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1869090704617022,0.8620742360644783,5,9,8,2.271552085876465,1,927.0,0.0,0.0,36,barabasi
known,static_conjecture,watts_37,13.208258088787517,"[3.1288365597116066, 2.102006274882317, 2.4494732973947086, 1.738880954110539, 1.7720077774349374, -0.3541421244122542, 2.836787752126003, 2.522161803154293, 1.16042004492675, 1.1804241025652034]",3.1288365597116066,-0.3541421244122542,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,15,15,4.050542116165161,1,1148.0,0.0,0.0,37,watts
known,static_conjecture,barabasi_38,5.059629487086568,"[2.6867863861585697, 2.351242545235578, 3.0646578638056408, 2.5069016891787097, 2.3274861740931567, 0.25170250236619307, 2.2960131680770246, 0.8063511907894088, 1.4534680393488744, 1.2838707384878494]",2.6867863861585697,0.25170250236619307,"[2.34870595 2.34870595 2.34870595 2.34870595 2.34870595 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.34870594630933,0.8620742360644783,5,7,6,11.541721820831299,1,2608.0,0.0,0.0,38,barabasi
known,static_conjecture,barabasi_39,13.063067900927471,"[2.3415988222074606, 2.117256618408862, 1.422047002459609, 1.8334217938972723, 2.281305429487327, 1.6443071054060545, 2.604087488042179, 1.987676437343559, 1.953473958401219, 1.355065424692073]",2.3415988222074606,1.6443071054060545,"[2.02933098 2.02933098 2.02933098 2.02933098 2.02933098 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.0293309771825396,0.8620742360644783,5,16,15,6.679752349853516,1,1197.0,0.0,0.0,39,barabasi
