n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
7,1.714,0.0,0.429,5,0.43804786804410945,0.11476805282093708,0.4789467352142785,0.5680807700862373,0.36991505801948354,2.936411637899873,2.1194731247353693,1.1130001788229076,0.8037526812146686,"['barabasi', 'gnm']"
7,1.714,0.0,0.571,13,0.7163175207070148,0.4158616615888288,0.6383667624675077,0.6409187964118993,0.9265770835830262,2.366991475262059,2.0476552825078658,1.6555459525825602,0.7713532390322976,"['barabasi', 'gnm']"
7,1.714,0.0,0.714,7,1.0173194159346404,0.458046146462702,0.9546019361677301,0.5517824639272089,0.8185078191332364,2.4896638091297585,2.056490877464292,1.7599989404390075,0.770732785525676,['barabasi']
7,2.0,0.0,0.429,16,0.9076717372306423,0.3763292432526785,0.9109236646383905,0.27260128724740124,1.6311745014707917,2.036252464689222,1.897735025053968,2.15271022082302,0.9241243854450707,"['regular', 'watts']"
7,2.0,0.0,0.571,3,0.5442464621321843,0.5138355415251932,0.6908262566293002,0.9591798309651851,1.0889794358233724,2.497563476094116,1.1278575317870836,1.820106125136725,0.7595581323900285,['watts']
7,4.0,0.429,0.429,3,9.195063362099503e-05,0.00011591944463167391,0.00012293037475707944,0.000100093597688458,2.9250781104178607,2.7979250388376626,2.1027870805138518,1.9339496528727944,0.839484119500513,['regular']
7,4.0,0.5,0.286,7,0.04355011900458395,0.2583109569662908,0.715871975221228,0.00150121633172311,2.7510601203729315,1.955084983760878,1.9697720339373883,2.291867226941317,0.9033998793835053,"['watts', 'regular']"
7,4.0,0.538,0.286,2,0.0,0.0,0.0,0.0,1.3457730827927443,2.0769669747371213,1.7999587443695857,1.3088578348832882,0.8838822051166517,['watts']
7,4.0,0.576,0.286,2,0.030946846926231376,0.5286062723498968,0.08670762641432925,0.1037249239470322,2.938224628634244,2.367292712686902,1.932621780962847,1.7382629081260939,0.885198225384147,['watts']
7,4.0,0.624,0.286,2,0.00026282598730623287,3.1547684273743334e-05,1.1112239470951695,0.0007205358619467897,1.6618529084401437,2.865305380645051,1.7100000365938222,2.427160143249794,0.7942473906558007,['watts']
7,4.0,0.81,0.429,2,0.2756208823567599,0.2783680523873795,1.1404134811152502,0.003676598461996266,2.313426894240312,1.0527351633728934,2.335198547736643,2.8468925135159617,0.8420838828493289,['watts']
7,5.714,0.952,0.286,2,0.03782893026654763,0.26397834849918145,0.6110453745049965,0.48469686959231184,2.9991488341259736,2.954931773279596,1.4502977500299177,2.029532302017855,0.9563313822512405,['gnm']
8,1.75,0.0,0.5,8,1.1769977603705688,0.4721830589941724,0.9303209892442796,0.43201067688723926,0.7605711200208318,2.600930654800361,2.214061004741588,1.7034452921269978,0.7705168183530395,['barabasi']
8,1.75,0.0,0.625,7,0.962263084957268,0.5767028608311093,1.0648185733570592,0.8117933011420304,1.505702707583075,2.0415765434616033,1.3822701112449403,2.0282541061546073,0.766572105416113,['barabasi']
8,1.75,0.0,0.75,4,0.6573250536805049,0.2687487284621849,0.9592726245108135,0.6044140129997041,0.8859045239258202,2.316760504582849,1.9229401294950148,1.9319064278079803,0.811596543797415,['barabasi']
8,2.0,0.0,0.5,4,0.8886838217181288,0.1851076841858803,0.810969656573336,0.1688683199252261,1.2032812778328816,1.9860883799644617,2.4612451456827,2.130651528989868,0.8504911820987381,"['watts', 'regular']"
8,2.0,0.208,0.5,2,1.568216137244025,0.3805487489557593,1.6591981421025246,0.05545193293845778,0.7436226221548838,2.8723778964320044,1.963758277828142,1.976688037878771,0.7255932610042432,['watts']
8,3.0,0.25,0.375,3,0.19720901581328412,0.2672206223589225,0.7559269048454914,0.060014967981913976,3.0277339752233723,2.015710317699419,2.686297763429744,1.8944485664185986,0.8194798414001525,['regular']
8,4.0,0.375,0.375,3,0.31739264955180063,0.13677582070565839,0.9762718711267918,0.5821978427958304,1.399602325210678,1.7733774475921171,2.225075185339958,1.9579432690181948,0.9066353110115163,['regular']
8,4.0,0.562,0.25,2,0.6924703495891859,0.7746032195544594,0.8988739544594256,0.3251780033827197,2.450435270105726,1.4935552008450779,2.4865928050933204,1.6540908276804427,0.8623459193129397,['watts']
8,4.0,0.638,0.25,2,0.000674555704381611,0.0008725491358157155,0.0003167503074667254,0.0006866396187214013,1.8106877355818063,2.737986278260762,2.8422268702674653,2.2272476786762097,0.727592072590293,['watts']
8,6.0,0.836,0.25,2,0.0072973605442645945,0.006909590355832039,0.011375744633227863,0.008525843857223043,3.009767563712302,2.7622471929332617,1.9015743598733448,1.7400653630255256,0.884985925150886,['gnm']
9,1.778,0.0,0.444,2,0.8748079383269529,0.4588965826988795,0.7790927455080412,0.6476557661863641,2.216619341191484,2.2849975957718027,1.496633618682797,2.2905313790664605,0.7819414001687122,['barabasi']
9,1.778,0.0,0.556,6,0.8412965168022785,0.4409226744260491,1.0036322460564815,0.5865840864450295,0.8079679596160213,2.373827949604727,1.9536079328407905,2.1000918306031595,0.7705622502885342,['barabasi']
9,1.778,0.0,0.667,4,1.0168472500273575,0.558101732854248,0.9058407498867637,0.6541400614001691,0.7820604643786068,2.3937566019999306,2.147137164143101,1.9873826776646442,0.7538391100053605,['barabasi']
9,1.778,0.0,0.778,4,5.212731657035693e-05,0.00018650536060381572,0.00038112087451402314,7.927805875460973e-05,1.3530544879001507,2.3136900776848934,1.1673056436913791,1.2467681962002082,0.7870766641495734,['barabasi']
9,2.0,0.0,0.444,6,1.043574555285009,0.41609048464089304,0.801368167251435,0.17635409124128368,1.5569958360877851,2.1368751091912066,1.902440010281189,2.196092895182,0.8918824270908575,"['watts', 'regular']"
9,4.0,0.389,0.333,3,0.997702283159608,0.28701917290979845,0.43414020503573225,0.259135646336848,1.7946752514217474,1.5229625748537405,2.533549313057699,2.1355832434521034,0.861952408667375,['regular']
9,4.0,0.467,0.333,2,0.028968476703289836,1.557518100366115,0.17364820073710724,0.7580980755747074,2.928888144277503,1.6720984959115932,1.8932422296687572,2.374256003214471,0.8536103271010025,['watts']
10,1.8,0.0,0.5,7,1.1709053912718215,0.7426187785064987,0.9880543617933251,0.797461593628005,1.0778687387339196,2.3259306024945308,1.6723797540178527,1.9096805650425668,0.7567523462429263,['barabasi']
10,1.8,0.0,0.6,7,0.6422867376928029,0.4477498474323727,0.3429899731096817,0.6691103803785556,1.5361532839065417,2.1448295130015844,1.6597625660874462,1.6135916715435645,0.7525991480298553,['barabasi']
10,1.8,0.0,0.7,5,0.6087618587333566,0.8303512763792239,0.3648099021299815,0.7429336466407587,1.8122151600031473,2.009731116845839,1.4504464914032187,1.7828901336696625,0.7278624115911905,['barabasi']
10,1.8,0.0,0.8,2,0.2969573355739099,0.022886157401198124,0.4342545379580247,1.1968568892173492,1.86639915107183,2.1654681066878396,0.6521904512268886,2.0265524135823956,0.7435264959735074,['barabasi']
10,2.0,0.0,0.5,11,0.3084212101848279,0.3539944000020124,0.4336014990856012,0.4258351562602415,0.4221045207528398,2.4573534955965726,2.7601205041114443,1.724184884201235,0.813838832197305,"['watts', 'regular']"
10,2.0,0.0,0.6,2,0.046387758548447365,0.04352748595654013,0.007685725131282238,0.005448561863810594,0.5002535897193715,2.924722893360231,1.9131955876908542,0.8366294285230297,0.835889690139823,['watts']
10,3.0,0.2,0.4,2,0.24099804764747745,0.3073912776898566,0.9450089939765836,0.07454961549850837,2.970187836377757,2.0829443203555824,2.4733226599919975,1.882830107202385,0.8019790997046969,['regular']
10,3.0,0.3,0.4,2,0.026753268106603275,0.21014762739616694,0.12787601785530658,0.012410452898871837,2.8360223454318985,2.442164604558747,1.8937159540835489,1.8078771795740447,0.8580155251004079,['regular']
11,1.818,0.0,0.546,7,0.9801081862993792,0.4954940441330173,1.0614293649861068,0.6224439444254978,1.0569234584232523,2.201278473397548,1.7882873482277468,2.187461646915115,0.762754272802458,['barabasi']
11,1.818,0.0,0.636,6,0.9341854581532508,0.34992492848130763,1.077617976943091,0.5488788478584048,0.9076946118367388,2.6162330670727063,2.1252367597448796,2.1448505810953686,0.7513123133714026,['barabasi']
11,1.818,0.0,0.727,3,0.11377789933039874,0.23042325261372248,0.9264179491164926,0.8673900260700002,1.3054841690869095,2.3965045086696546,2.249961618283951,1.775364391447065,0.7689930676448861,['barabasi']
