graphname,p,restart_idx,gamma1,beta1,final_expectation,n_obj_calls
g000888,2,10,2.952203437633493,1.0773458685206538,-36.539921679947255,268
g000888,2,11,1.6957350382883605,1.9645719379970423,-37.45930903180245,261
g000888,2,12,1.423636795168281,1.3147708413779604,-35.202755934792464,207
g000888,2,13,2.412887372981795,1.5714074943688656,-35.18286138256937,220
g000888,2,14,2.5441216145566212,1.5632491368092811,-35.19006237591175,228
g000888,2,15,3.0124814443879093,1.7272658166844992,-36.403612682647356,276
g000888,2,16,2.115293715577491,1.4302682185997546,-31.855138916078214,284
g000888,2,17,0.8954319736824257,0.8638206536274836,-31.76496976632228,262
g000888,2,18,2.3563037282732715,2.409827337801203,-31.50029394480416,215
g000888,2,19,1.6997981764980432,1.7269890055064596,-36.403618198238185,278
g000888,2,20,1.699790852751812,1.7263341432486063,-36.40360007424245,278
g000888,2,21,0.1902370805562894,2.0606436513787108,-36.54003906035932,389
g000888,2,22,3.141586054055236,2.630168098199309,-35.1827102919427,223
g000888,2,23,2.9958603062172515,2.416447764340975,-35.182933712798786,234
g000888,2,24,3.016326611676419,1.9639092610175504,-37.45928285433792,303
g000888,2,25,3.0173112780762077,0.3948683409792232,-37.45913685448103,284
g000888,2,26,2.951990873507682,1.0764790194349383,-36.540005703963615,393
g000888,2,27,0.1722582531062447,2.277712804807305,-36.46751706137729,245
g000888,2,28,2.3147163156977744,1.5702813395690758,-35.182986242138696,231
g000888,2,29,3.012556464711005,1.7275593676958514,-36.40344980017621,345
g000888,2,30,2.4499961426305124,-0.0013985591863387727,-35.18327133133832,237
g000888,2,31,1.4448897748467278,1.1781173440267774,-37.45922395868725,407
g000888,2,32,1.7164687078211258,2.182246864674444,-35.182884032071854,204
g000888,2,33,-0.19100214207364072,1.0842077966089578,-36.53999128779211,403
g000888,2,34,1.6992368643548645,0.15730811890788465,-36.40361137700584,349
g000888,2,35,3.016355785995033,1.965633535567045,-37.45925262006451,250
g000888,2,36,3.015559489260526,1.7281211816534907,-36.40253671102954,210
g000888,2,37,3.016598909626714,1.96306897385695,-37.459105003441366,312
g000888,2,38,1.4457958428887598,1.1780259102968405,-37.45925671432816,232
g000888,2,39,2.4615755141766957,1.5707898269411198,-35.183012950987006,214
