graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
watts_50,7.8775912111642015,"[0.4713655216630377, 2.258486422890317, 2.9717015060308496, 1.8841953226752826]",0.4713655216630377,2.9717015060308496,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,10,0.2666723728179931,1,173.0,0.0,0.0,50,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10,0.7877591211164201
regular_51,11.666674403613689,"[2.496452833875872, 1.8933490310157486, 1.2483584395006853, 2.2150423149452965]",2.496452833875872,1.2483584395006853,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,14,14,0.4726340770721435,1,259.0,0.0,0.0,51,regular,14,14,2.0,0.0,0.0,0.0,0.4286,14,0.8333338859724063
barabasi_52,12.897217829715922,"[1.97073035215336, 0.8993636474431035, 3.141592653589793, 1.9278093565422618]",1.97073035215336,3.141592653589793,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,20,0.504246711730957,1,203.0,0.0,0.0,52,barabasi,12,20,3.3333,1.4907,0.3139,-0.3137,0.4167,17,0.7586598723362307
barabasi_53,8.04988019152383,"[1.6307321918797817, 1.9570922019826287, 0.9625420139221563, 2.750376165622692]",1.6307321918797817,0.9625420139221564,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,11,0.3547673225402832,1,178.0,0.0,0.0,53,barabasi,12,11,1.8333,1.1426,0.0,-0.2974,0.5,11,0.73180729013853
gnm_54,5.193716515885171,"[0.5585632266828864, 2.906234807746615, 1.8803239642207543, 0.9371973959849988]",0.5585632266828864,1.8803239642207543,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,6,7,0.2554569244384765,1,247.0,0.0,0.0,54,gnm,6,7,2.3333,0.4714,0.2778,-0.1667,0.5,6,0.8656194193141952
barabasi_55,18.103951050910965,"[2.8761229882119994, 2.152871691126738, 1.9404169010124344, 1.5247235709323295]",2.8761229882119994,1.9404169010124344,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,16,28,1.0037400722503662,1,247.0,0.0,0.0,55,barabasi,16,28,3.5,1.9039,0.3049,-0.3503,0.5,23,0.7871283065613462
watts_56,9.920049430910694,"[2.9030229351732966, 1.4046386559685835, 0.322838977026827, 3.096787396099827]",2.903022935173297,0.322838977026827,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,8,16,0.4628171920776367,1,245.0,0.0,0.0,56,watts,8,16,4.0,0.7071,0.4667,-0.1613,0.25,13,0.7630807254546688
barabasi_57,27.92298328540052,"[1.9316580343965248, 2.5377497056848437, 1.9497706789183835, 1.3372950160841535]",1.9316580343965248,1.9497706789183835,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,51,2.6164417266845703,1,271.0,0.0,0.0,57,barabasi,20,51,5.1,2.5671,0.3382,-0.4138,0.35,39,0.7159739303948851
barabasi_58,13.517473736120282,"[0.3234543991951731, 2.404968040398469, 2.8132782749487664, 1.8121470133237745]",0.3234543991951731,2.8132782749487664,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,18,17,0.3882369995117187,1,176.0,0.0,0.0,58,barabasi,18,17,1.8889,1.2862,0.0,-0.2413,0.5556,17,0.7951455138894283
gnm_59,21.92257643886001,"[1.2419907259080025, 1.6824178401284167, 3.100257905801093, 1.911124018119588]",1.2419907259080023,3.100257905801093,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,14,36,1.2394771575927734,1,294.0,0.0,0.0,59,gnm,14,36,5.1429,1.1867,0.3588,-0.1163,0.2857,27,0.8119472755133337
gnm_60,18.49259876434309,"[1.7130404573014189, 1.2183158384401738, 2.9521213999858134, 1.8223660307792051]",1.7130404573014189,2.9521213999858134,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,32,0.923408031463623,1,216.0,0.0,0.0,60,gnm,10,32,6.4,1.0198,0.6717,-0.1513,0.3,22,0.840572671106504
barabasi_61,4.369752345006418,"[-0.4712400953784335, 3.139876748802892, 3.141592653589793, 1.963498298962437]",-0.4712400953784335,3.141592653589793,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,7,6,0.3502192497253418,1,147.0,0.0,0.0,61,barabasi,7,6,1.7143,1.3851,0.0,-0.776,0.7143,6,0.7282920575010697
watts_62,18.75978497485653,"[1.6171335896350387, 1.7836045781989234, 1.358367735586575, 1.2474047109458692]",1.6171335896350387,1.358367735586575,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,30,2.21060562133789,1,407.0,0.0,0.0,62,watts,15,30,4.0,1.3663,0.4206,-0.1709,0.4,22,0.852717498857115
watts_63,9.32214887052396,"[2.9413298656769866, 2.7637089571567417, 2.018392521284973, 1.84785533584021]",2.9413298656769866,2.018392521284973,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,7,14,0.4330289363861084,1,212.0,0.0,0.0,63,watts,7,14,4.0,0.7559,0.5714,-0.4259,0.4286,10,0.9322148870523961
gnm_64,6.258460769895464,"[2.89242635141842, 2.1006462005581943, 1.8793972705463347, 1.5543392847571746]",2.89242635141842,1.8793972705463349,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,6,10,0.2867486476898193,1,189.0,0.0,0.0,64,gnm,6,10,3.3333,0.7454,0.6667,-0.3333,0.3333,7,0.8940658242707806
barabasi_65,7.961222207342416,"[0.3482098306701222, 2.2960120391648497, 2.826320821439486, 1.8178052085043959]",0.3482098306701222,2.826320821439486,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,11,10,0.3011009693145752,1,151.0,0.0,0.0,65,barabasi,11,10,1.8182,1.4659,0.0,-0.4651,0.5455,10,0.7961222207342417
regular_66,15.823230698096568,"[2.913648501800228, 2.1217343541172813, 1.7720086089166838, 1.3369166445507439]",2.913648501800228,1.7720086089166838,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,24,0.7236599922180176,1,243.0,0.0,0.0,66,regular,12,24,4.0,0.0,0.375,0.0,0.3333,18,0.879068372116476
watts_67,12.396343071537672,"[2.906938421027327, 1.7532141004301725, 1.9023505980384017, 1.5171359492248153]",2.906938421027327,1.9023505980384017,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,20,0.375586986541748,1,171.0,0.0,0.0,67,watts,10,20,4.0,0.6325,0.4733,-0.0256,0.4,15,0.8264228714358448
gnm_68,29.255213546509754,"[1.1664326101800748, 2.209506460710259, 0.0343665716367082, 2.7886890786921525]",1.1664326101800748,0.0343665716367082,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,47,2.362823247909546,1,234.0,0.0,0.0,68,gnm,20,47,4.7,1.7059,0.2011,-0.2134,0.4,40,0.7313803386627439
