graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut
836,gnm,12,57,9.5,0.7638,0.8488,-0.12,0.1667,35
837,gnm,10,26,5.2,1.4,0.5905,-0.3224,0.3,19
838,barabasi,20,36,3.6,2.2,0.393,-0.3246,0.45,30
839,gnm,7,6,1.7143,0.6999,0.0,0.0,0.4286,6
840,gnm,13,17,2.6154,1.2114,0.0385,-0.3353,0.5385,15
841,gnm,12,62,10.3333,0.7454,0.9405,-0.1923,0.1667,36
842,regular,13,26,4.0,0.0,0.3462,,0.3077,20
843,barabasi,7,6,1.7143,1.0302,0.0,-0.5,0.5714,6
844,regular,18,27,3.0,0.0,0.0556,,0.3889,25
845,regular,13,26,4.0,0.0,0.1923,,0.3846,22
846,watts,8,8,2.0,0.0,0.0,,0.5,8
847,watts,11,11,2.0,0.8528,0.197,-0.1524,0.5455,10
848,watts,8,16,4.0,1.0,0.6375,-0.0833,0.25,12
849,barabasi,11,10,1.8182,1.4025,0.0,-0.4685,0.5455,10
850,watts,10,10,2.0,0.7746,0.0,-0.1765,0.6,10
851,barabasi,12,20,3.3333,2.4267,0.5481,-0.5411,0.5,17
852,barabasi,14,24,3.4286,1.879,0.3629,-0.2652,0.4286,19
853,gnm,20,135,13.5,1.6583,0.7002,-0.0613,0.2,85
854,gnm,11,23,4.1818,1.3361,0.503,-0.2008,0.4545,18
855,watts,8,8,2.0,0.7071,0.2083,0.1429,0.5,7
856,barabasi,13,22,3.3846,1.903,0.4021,-0.3456,0.3846,18
857,watts,7,14,4.0,0.7559,0.5905,-0.5556,0.4286,10
858,watts,12,12,2.0,0.8165,0.0833,0.1,0.5,11
859,barabasi,15,14,1.8667,1.4079,0.0,-0.4904,0.4667,14
860,gnm,20,148,14.8,1.6,0.7731,-0.1103,0.15,90
861,barabasi,11,10,1.8182,1.6959,0.0,-0.6246,0.7273,10
862,barabasi,6,5,1.6667,1.1055,0.0,-0.7391,0.6667,5
863,gnm,10,41,8.2,0.8718,0.9206,-0.2548,0.2,25
864,barabasi,12,20,3.3333,1.8409,0.5738,-0.3568,0.5,16
865,barabasi,11,10,1.8182,1.6959,0.0,-0.5546,0.6364,10
866,watts,7,7,2.0,0.0,0.0,,0.4286,6
867,watts,17,34,4.0,1.1376,0.1059,-0.0683,0.3529,27
868,barabasi,19,18,1.8947,1.8323,0.0,-0.6165,0.7368,18
869,regular,7,14,4.0,0.0,0.5,,0.2857,10
870,regular,13,13,2.0,0.0,0.0,,0.3846,12
871,regular,7,14,4.0,0.0,0.5,,0.2857,10
872,barabasi,17,16,1.8824,1.6045,0.0,-0.4872,0.5294,16
873,gnm,13,73,11.2308,1.0491,0.9489,-0.231,0.1538,42
874,watts,10,10,2.0,1.0,0.0,-0.4286,0.6,9
875,regular,17,34,4.0,0.0,0.1765,,0.3529,26
876,regular,7,7,2.0,0.0,0.0,,0.4286,6
877,barabasi,12,11,1.8333,1.4625,0.0,-0.4318,0.5833,11
878,regular,6,6,2.0,0.0,0.0,,0.5,6
879,regular,18,36,4.0,0.0,0.0556,,0.3333,30
880,barabasi,17,42,4.9412,1.8934,0.38,-0.1047,0.2941,31
881,barabasi,6,5,1.6667,1.4907,0.0,-1.0,0.8333,5
882,barabasi,9,8,1.7778,1.0304,0.0,-0.3793,0.5556,8
883,gnm,6,12,4.0,0.8165,0.8444,-0.4348,0.3333,8
884,watts,15,30,4.0,1.2649,0.2625,-0.2319,0.4,24
885,barabasi,20,51,5.1,2.0469,0.2441,-0.0943,0.3,39
886,regular,6,9,3.0,0.0,0.3333,,0.3333,7
887,regular,14,14,2.0,0.0,0.0,,0.3571,14
888,watts,19,38,4.0,1.2566,0.1737,-0.1465,0.4211,30
889,watts,10,10,2.0,0.8944,0.0,-0.25,0.5,9
890,gnm,20,79,7.9,2.2113,0.3754,-0.0901,0.25,59
891,watts,11,11,2.0,0.7385,0.1515,-0.3509,0.4545,10
892,watts,13,13,2.0,0.6794,0.0,-0.3188,0.4615,12
893,gnm,11,27,4.9091,1.2398,0.471,-0.0619,0.2727,20
894,barabasi,9,8,1.7778,1.0304,0.0,-0.3793,0.4444,8
895,barabasi,14,24,3.4286,2.2902,0.5747,-0.3681,0.4286,19
896,barabasi,12,11,1.8333,1.4625,0.0,-0.5682,0.5833,11
897,watts,7,14,4.0,0.7559,0.6238,-0.1667,0.2857,10
898,barabasi,19,34,3.5789,2.413,0.3156,-0.3173,0.4211,29
899,watts,7,14,4.0,1.069,0.7095,-0.3494,0.2857,10
900,barabasi,10,9,1.8,0.9798,0.0,-0.7273,0.7,9
901,barabasi,16,39,4.875,2.4463,0.4439,-0.3353,0.3125,31
902,gnm,10,28,5.6,1.2806,0.6257,0.073,0.3,19
903,barabasi,18,32,3.5556,1.8922,0.0827,-0.2668,0.5,30
904,gnm,15,67,8.9333,1.4817,0.6099,-0.1488,0.2667,45
905,watts,7,7,2.0,0.5345,0.3333,-0.0769,0.4286,6
906,gnm,12,54,9.0,1.472,0.8429,-0.2396,0.1667,33
907,watts,19,19,2.0,0.4588,0.0,0.2083,0.4737,19
908,barabasi,18,45,5.0,2.3805,0.3565,-0.3579,0.4444,34
909,barabasi,13,22,3.3846,1.3323,0.0846,-0.2306,0.3846,19
