graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
barabasi_865,8.475359797023497,"[1.4700461480381273, 2.0691661335961458, 2.0133218553550227, 1.7702369516574203, 1.303382788089794, 1.4251128563027113, 1.1997741356999563, 3.1414645317181953, 2.9078459858046877, 1.8017038769908418]",1.4700461480381273,1.4251128563027113,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,11,10,2.6051039695739746,1,1255.0,0.0,0.0,865,barabasi
watts_866,5.999989195030973,"[1.8604712662599665, 1.9859909631707244, 2.8060880119981166, 1.8147282369553037, 1.3617872744732766, 1.0182831928992053, 0.7114352165114454, 2.8326297009935404, 2.5317986804246857, 1.4008423137763675]",1.8604712662599665,1.0182831928992053,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,7,0.5753800868988037,1,400.0,0.0,0.0,866,watts
watts_867,24.694139582065816,"[2.9852145356082085, 2.851430041807363, 2.5877903552227792, 1.6438522721982194, 1.6963840017694847, 0.5175745887175857, 0.3571205633568427, 3.140651722430255, 3.1412902020467337, 1.7638946722096076]",2.9852145356082085,0.5175745887175857,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,34,6.053551435470581,1,842.0,0.0,0.0,867,watts
barabasi_868,15.212526609352476,"[3.1389773808044876, 2.8498061588979424, 2.622256753701479, 1.4929157784245861, 1.671610703609105, 1.5928050085461714, 0.34853192424000723, 2.2630316000603994, 2.921549551189177, 2.6358796722487265]",3.1389773808044876,1.5928050085461714,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,18,5.501307964324951,1,1430.0,0.0,0.0,868,barabasi
regular_869,9.919620951985053,"[2.9389164194467106, 1.969757244209156, 1.8903547977263264, 1.890189106690722, 1.3414128891570658, 1.6900091915671065, 1.1825073252076397, 2.8028897783813402, 2.9489565151496406, 1.6571649860680917]",2.9389164194467106,1.6900091915671065,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,14,3.4540131092071533,1,1938.0,0.0,0.0,869,regular
regular_870,11.519597862978886,"[1.8585760965059328, 2.096991649953871, 2.6321862659988353, 1.6065116069496637, 1.2216087215264921, 1.2538649618472597, 0.28547763552487937, 2.970846378432112, 2.639213604414132, 2.0112840688042697]",1.8585760965059328,1.2538649618472597,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,13,3.3745627403259277,1,1479.0,0.0,0.0,870,regular
regular_871,9.880484360499395,"[3.086525246817444, 1.7885055644503196, 1.8862718304390862, 1.5223439731734607, 2.058931707194728, 1.6836806888941336, 1.1372733865379574, 2.3739084045085423, 1.9684582814724065, 1.3983470596336245]",3.086525246817444,1.6836806888941336,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,14,3.3118438720703125,1,1543.0,0.0,0.0,871,regular
barabasi_872,14.205499763862324,"[2.9531670021246192, 2.8355432393793913, 2.5725665336539265, 1.5610527408243282, 1.5985762583043073, 1.981572444284951, 0.21003520100340506, 2.5975496217237914, 2.9444755688703057, 2.344005239013697]",2.9531670021246192,1.981572444284951,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,16,5.220032691955566,1,1471.0,0.0,0.0,872,barabasi
gnm_873,36.17045889733765,"[2.764381091144288, 2.913164738085839, 1.9738650379956393, 1.5454932760632678, 1.4545999011857011, 0.996328799671932, 0.7184909701913935, 3.020635837627993, 3.076492060412175, 2.044756053557311]",2.764381091144288,0.996328799671932,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,73,10.22992753982544,1,912.0,0.0,0.0,873,gnm
watts_874,8.102843993404795,"[2.8267465099096336, 3.141533651768057, 2.5228673968141466, 1.4508724624275229, 1.7713074479438526, 1.25500544881961, 0.7563425441450942, 3.1201148342732408, 3.053871777829101, 1.8108024850778732]",2.8267465099096336,1.25500544881961,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,10,2.2526628971099854,1,1137.0,0.0,0.0,874,watts
regular_875,24.22710708947388,"[1.7243260804821872, 2.0435860897427185, 2.799257842779899, 2.0363265401310393, 1.3355643844238727, 1.0384820067461549, 0.5317770914559861, 1.5277851212381495, 1.4384763415656958, 0.8764532042866537]",1.7243260804821872,1.0384820067461549,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,34,5.790982484817505,1,806.0,0.0,0.0,875,regular
regular_876,5.99998937270094,"[1.8587409330290439, 1.9881447727573631, 2.804619177849438, 1.8109397704948296, 1.3631846549559719, 1.0131735883950537, 0.7231312575390384, 2.8317201918920425, 2.5204598129651488, 1.3985554587236968]",1.8587409330290439,1.0131735883950537,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,7,7,0.4797239303588867,1,400.0,0.0,0.0,876,regular
barabasi_877,9.808540455736054,"[2.8822999701926895, 2.7617942269063964, 3.13377693271927, 0.5085711352234856, 2.1907040784904757, 2.1979385611374322, 0.5358373824994438, 2.888762408764915, 2.9206830594355067, 1.7563479708294056]",2.8822999701926895,2.1979385611374322,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,12,11,5.552168369293213,1,2511.0,0.0,0.0,877,barabasi
regular_878,6.000001214594113,"[0.5645164161042491, 2.456097358697231, 2.957685074064926, 1.418730903613918, 2.172208114907887, 1.1481831993653966, 1.4545456466622895, 2.391152875733532, 1.7329645946043768, 0.9792173575967784]",0.5645164161042491,1.1481831993653966,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,6,6,0.37049269676208496,1,338.0,0.0,0.0,878,regular
regular_879,27.861780825695952,"[1.7107864973050493, 1.9057196894878763, 3.0520357260814275, 2.049265211966989, 1.4918393413667306, 0.9812504057673048, 0.461104106394789, 2.1170826434981502, 2.003740119477217, 0.8519939274587172]",1.7107864973050493,0.9812504057673048,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,18,36,8.082669734954834,1,1133.0,0.0,0.0,879,regular
barabasi_880,26.87600770903811,"[2.855353914495176, 2.5303557590365733, 2.2718255510220926, 1.553934246004224, 1.5706029358182523, 1.194456518337009, 0.005568831401524554, 2.191876315453158, 2.3081317483514967, 0.9523543342987992]",2.855353914495176,1.194456518337009,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,42,5.965336084365845,1,799.0,0.0,0.0,880,barabasi
barabasi_881,4.963368642813293,"[1.7249486412106907, 1.9418482422016934, 2.031899305300167, 1.9172860457541099, 1.5429730676110358, 0.5282922673003196, 1.3303003328731733, 1.8674222574911004, 2.1760380402606376, 0.8309742109758063]",1.7249486412106907,0.5282922673003196,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,6,5,0.9791662693023682,1,925.0,0.0,0.0,881,barabasi
barabasi_882,6.825962040108905,"[2.8262947017989504, 3.1389663791191045, 3.1415878552745493, 0.8948169752938462, 1.647240143951057, 3.141508765472489, -1.0420829166356598, 3.0135778314856916, 3.016535313820685, 1.8023413607850443]",2.8262947017989504,3.141508765472489,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,9,8,2.56250262260437,1,1531.0,0.0,0.0,882,barabasi
gnm_883,7.469609133753693,"[2.947536356921497, 2.5185867432186613, 1.8585124487113949, 1.6624193408147891, 0.4618506373982556, 1.7386045215071655, 0.8052906198679661, 2.536174883612944, 1.970998930217463, 0.9862825305229449]",2.947536356921497,1.7386045215071655,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,6,12,1.83595609664917,1,995.0,0.0,0.0,883,gnm
watts_884,21.65522222300944,"[3.0011824013784323, 2.872088305843726, 1.2932084261808094, 1.4145226797963908, 0.06934152314393219, 2.0827143182008894, 1.9534829742760809, 3.124499580404428, 2.6975837549867983, 0.6902987551599117]",3.0011824013784323,2.0827143182008894,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,15,30,8.92865538597107,1,1592.0,0.0,0.0,884,watts
barabasi_885,34.11131610257513,"[3.000065664563516, 3.0773135139811627, 2.743375135186662, 2.115170864013751, 1.1275039637322477, 0.27222567361785655, 0.24227313036065093, 3.068706362548201, 3.11887474677411, 1.8913953353848978]",3.000065664563516,0.27222567361785655,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,51,11.212970733642578,1,899.0,0.0,0.0,885,barabasi
regular_886,6.9472104634623975,"[1.3544087770214834, 2.15893598057006, 3.035958083445494, 2.3274760970437116, 3.07168779254644, 1.4543303096116622, 2.1510636672659142, 2.1902518334636047, 1.5533258780896135, 1.7807428388584148]",1.3544087770214834,1.4543303096116622,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,6,9,2.423784017562866,1,1845.0,0.0,0.0,886,regular
regular_887,12.401645985335541,"[1.831108617755747, 2.134446590937096, 2.6105755797353325, 1.6127411534465077, 1.2027304889274022, 1.2579253880981094, 0.2743545042897254, 2.8180601976238435, 2.809585004273023, 2.004665471424473]",1.831108617755747,1.2579253880981094,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,14,14,3.7649857997894287,1,1337.0,0.0,0.0,887,regular
watts_888,27.077985456646672,"[1.2642934016379157, 2.134968551381256, 3.04813918404831, 1.571963330144722, 2.002115943521679, 1.6209324299102466, 2.008809612578573, 2.1666621646932525, 1.6136062760112764, 1.351501324900899]",1.2642934016379157,1.6209324299102466,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,38,5.587228298187256,1,757.0,0.0,0.0,888,watts
