n,deg_mean_r,clust_mean_r,mis_r,count,gamma1_std,gamma2_std,beta1_std,beta2_std,gamma1_mean,gamma2_mean,beta1_mean,beta2_mean,approx_mean,models
6,3.333,0.833,0.5,1,0.0,0.0,0.0,0.0,2.8587574598502554,2.7183635954471788,2.073716696089609,1.9153509462553755,0.8348336830968037,['gnm']
6,3.667,0.583,0.333,1,0.0,0.0,0.0,0.0,2.1378541147838033,1.9207933120253609,2.78555521280013,2.3698403417179272,0.876738539188409,['gnm']
6,3.667,0.767,0.333,1,0.0,0.0,0.0,0.0,3.1341563153659115,1.8008841267287976,3.13415383234285,2.815863700186819,0.872500290570315,['gnm']
6,4.0,0.667,0.333,2,0.001048802584093962,0.00043273008099069515,0.002479680341605847,0.0032041494939415442,2.796208458132183,1.6648747370680161,1.2063207876685664,2.2696164388051683,0.9621435516855854,['regular']
6,4.0,0.728,0.333,3,0.0065370344347678725,0.3984541725597692,0.07307373620211002,0.1976095124803555,2.9395567878791162,2.255991053127357,1.8944315819924693,1.5855926317313702,0.825440962538441,['watts']
6,4.0,0.844,0.333,3,0.10379966505604,0.4539692405343142,0.7112802867245404,0.1401385451079232,3.0093225614153254,2.3732765768547486,2.320277089674832,1.8316145764900567,0.9068768587870485,"['watts', 'gnm']"
6,4.0,0.9,0.333,4,0.0004244428194275537,0.00014768370346310405,0.00048784284080853184,0.0004534442957557454,2.8761784553266327,1.758414049526938,1.9297273356020619,1.0121947856820728,0.9070308599057171,"['watts', 'gnm']"
6,4.333,0.9,0.333,3,0.00026945710468947304,0.0007194809205765785,0.00030837058355207627,0.00019291228252498865,2.95644823791053,2.6193490524145093,1.8874800292311216,1.7206887279400955,0.882501539573746,['gnm']
6,4.667,0.933,0.333,2,0.010105968475967259,0.025346961814201034,1.7982447009492006,0.3540219429287395,1.785877328905845,2.700047419288315,1.5633587267964575,2.702123808411643,0.8982835847451093,['gnm']
7,1.714,0.0,0.429,5,0.43804786804410945,0.11476805282093708,0.4789467352142785,0.5680807700862373,0.36991505801948354,2.936411637899873,2.1194731247353693,1.1130001788229076,0.8037526812146686,"['barabasi', 'gnm']"
7,1.714,0.0,0.571,13,0.7163175207070148,0.4158616615888288,0.6383667624675077,0.6409187964118993,0.9265770835830262,2.366991475262059,2.0476552825078658,1.6555459525825602,0.7713532390322976,"['barabasi', 'gnm']"
7,1.714,0.0,0.714,7,1.0173194159346404,0.458046146462702,0.9546019361677301,0.5517824639272089,0.8185078191332364,2.4896638091297585,2.056490877464292,1.7599989404390075,0.770732785525676,['barabasi']
7,2.0,0.0,0.429,16,0.9076717372306423,0.3763292432526785,0.9109236646383905,0.27260128724740124,1.6311745014707917,2.036252464689222,1.897735025053968,2.15271022082302,0.9241243854450707,"['regular', 'watts']"
7,2.0,0.0,0.571,3,0.5442464621321843,0.5138355415251932,0.6908262566293002,0.9591798309651851,1.0889794358233724,2.497563476094116,1.1278575317870836,1.820106125136725,0.7595581323900285,['watts']
